MSCW,,Weight %,Категорія / Параметр аналізу,Google CCAI,Ender Turing,Uni Talk,NICE,Microsoft Copilot,Genesys Cloud CX,NICE Cognigy,Cresta,Live Person,Ringostat,Decagon,11 Labs,Poly AI,Get Vocal
COPILOT,,,,,,,,,,,,,,,,,
Must,Швидкість аналізу AI,5,"5 - контекст розмови аналізується та відображається оператору в реальному часі, затримка ≤200 мс
4 - відображення з затримкою ≤1с
3 - ≤5 с, оператор бачить підказку після паузи
2 - >5с або відображення лише після завершення репліки
1 - функціонал відсутній або недоступний",5,2,1,5,4,4.5,5,4,4,1,4.5,1,1,1
Should,Підказки відповіді (NBA),2.5,"Next Best Action - швидка ШІ-пропозиція рішення \ відповіді \ посилань
5 - точна підказка наступного кроку, що дає оператору чіткий план до вирішення запит
4 - часто потребується коригування в моменті
3 - не підтверджена українська
2 - пропонує лише загальні варіанти без прив'язки до контексту розмови
1 - функціонал відсутній",3,1,1,5,5,4.5,5,5,4,1,4,1,1,1
Should,Шаблони відповідей,2.5,"Готові скрипти відповіді, адаптовані під контекст розмови
5 - ШІ автоматично підставляє дані (ім'я клієнта, номер ТТН) у шаблон і пояснює логіку вибору (клієнт незадоволений відповіддю, згідно з нашою політикою ми можемо запропонувати наступні рішення)
4 -  шаблони пропонуються автоматично, але персональні дані оператор підставляє вручну
3 - система видає список стандартних текстових блоків, які оператор має адаптувати під контекст
2 - шаблони існують, але пошук лише за ключовими словами, без контексту
1 - функціонал відсутній",5,3,2,5,4.5,5,5,5,4,4,4.5,1,1,1
Should,Пошук в базі знань (RAG),2.5,"Пошук відповідей у завантажених документах (базі знань)
5 - розуміння складного питання, аналіз і пошук точних даних у базі знань
3 - пошук по докуменції є, але потрібно прочитати та підібрати відповідь
1 - функціонал відсутній",3,4,1,5,5,5,5,5,4.5,1,4.5,1,1,1
Should,Витяг політик,2.5,"Посилання на документ, аби оператор міг цитувати офіційні документи
5 - виділення конкретної норми та посилання у відповіді оператору
4 - відповіді орієнтовані на політику, але не надаються одразу посилання чи цитати
3 - система ідентифікує контекст, але виділення конкретної норми права у відповіді оператору потребує додаткових налаштувань
1 - функціонал відсутній",5,5,1,5,5,5,5,5,4,3.5,4,1,1,1
,,15%,,13%,7.5%,3.5%,15%,13.8%,14.3%,15%,14%,12.3%,5.8%,13%,3%,3%,3%
ПОСТОБРОБКА (ACW),,,,,,,,,,,,,,,,,
Must,Транскрибація дзвінка,6,"Оцінка вимірює точність розпізнавання слів та розділення спікерів (клієнт/оператор)
5 - українська мова нативно (GA, підтверджено документацією)
4 - українська мова через сторонній бекенд-переклад
3.5 - українська підтримується, невпевнено
3 - українська не згадується
2 - українська мова не реалізована
1 - платформа не є ACW-рішенням",4.5,4.5,4.5,4,3.5,3,4,4,3,3,3,5,4,1
Must,Резюме дзвінка (Саммарі),6,"Оцінюється узагальнення суті проблеми клієнта та фіксація результату розмови
5 - чітке резюме, яке не потребує правок
4 - резюме охоплює суть запиту, але результат потребує валідації оператора
3.5 - потребує додаткового аналізу, оскільки бракує інформації щоби стверджувати
2 - формує лише набір ключових слів або часткове резюме без структури
1 - немає функціоналу",4.5,4.5,1,4.5,4,4.5,4.5,4.5,4,3,3,1,1,1
Should,Автозаповнення тематик,4.3,"Здатність ШІ визначати одну або декілька тематик звернення з дерева категорій тематик та підтематик (аналітика побудована на наявності функціоналу та відгуках користувачів)
5 - найкращі алгоритми класифікації, здатні розрізняти схожі тематики у дереві на велику кількість тематик
4 - точна класифікація на спрощеному дереві
3 - потрібен довший період навчання та бажана постперевірка оператора
2 - автоматична неточна класифікація, користувачі скаржаться часто
1 - функціонал відсутній

Складно теоретично дати оцінку. Варто спробувати на тесті, хто краще класифікує 400 тематик НП на тестовій вибірці реальних дзвінків із суржиком",3,3.5,1,3,3,2,2,3,2,2,2,1,1,1
Should,Автозаповнення полів у CRM,4.3,"Можливість перенесення даних із розмови УКРАЇНСЬКОЮ МОВОЮ та рівень гнучкості інтеграції з API РМ НП
5 - основний функціонал, що найкращий на ринку
4 - готовий API та документація для інтеграції з будь-яким РМ, автозаповнення будується самостійно
2 - не підтримує українську мову
1 - функціонал відсутній ",3,3.5,1,3,3,2,2,3,3,2,2,1,1,1
Should,Тегування та маркування,4.3,"Швидкість маркування та можливість фільтрації даних в аналітичних звітах
5 - готовий гнучкий функціонал, що може виявити тег без вживання ключових слів, а з контексту розмови
3 - функціонал існує, але через прямі вжитки слів
2 - теги проставляються вручну оператором після дзвінка
1 - функціонал відсутній",3,3.5,1,4,4,4,2,5,3,2,2,1,1,1
,,25%,,18.6%,19.9%,9.2%,18.9%,17.7%,15.9%,15.4%,19.7%,15.3%,12.4%,12.4%,9.8%,8.6%,5%
АНАЛІТИКА ТА QA,,,,,,,,,,,,,,,,,
Must,Автоматична оцінка якості,2.5,"Оцінка на самостійну перевірку дзвінка на відповідність нашого чек-листу замість ручного прослуховування
5 - ШІ розуміє складні кастомні критерії (емпатія, повнота відповіді), дає обґрунтовану оцінку за кожен пункт і виділяє цей проміжок у підкріплення своїх трактувань
4 - автоматична перевірка за кастомним чек-листом є, але суб'єктивні критерії оцінює поверхово без прив'язки до таймкоду
3 - перевірка за фіксованим набором критеріїв без можливості кастомізації під чек-лист НП
2 - система дає загальну оцінку якості без деталізації по пунктах
1 - функціонал автоматичної перевірки відсутній",4.5,5,1,4,3,3,3,4.5,3,3,3,1,2,2
Must,Власний аналітичний модуль,2.5,"Оцінка дашбордів провайдера
5 - глибока аналітика з можливістю деталізації до конкретних дзвінків \ цитат.
4 - стандартна звітність без гнучкої кастомізації під наші потреби
3 - власного модуля немає, але є готова інтеграція з аналітичним інструментом
2 - вивантаження лише у CSV/Excel для самостійної побудови звітів
1 - аналітичний модуль відсутній",4.5,5,3,4.5,4,4,3,4.5,4,5,2,1,3,2
Must,Аналіз тональності (Sentiment),2.5,"Здатність ШІ визначати емоційний фон розмови: чи є клієнт агресивним, задоволеним або розчарованим
5 - точне розпізнавання емоцій агресії, роздратування, плачу на українській мові/суржику.
4 - розпізнавання позитив/нейтральний/негатив на рівні репліки, суржик обробляє нестабільно
3 - тональність визначається за ключовими словами без урахування інтонації, суржику чи контексту
2 - можливо розробити власними силами
1 - функціонал відсутній",4,4.5,1,3.5,3.5,4,3,4.5,3,4,3,1,2,2
Must,Пошук за ключовими словами,2.5,"Можливість миттєво знайти всі дзвінки, де згадувалися певні слова
5 - пошук працює миттєво по всьому масиву розмов
4 - пошук по транскрипціях
3 - пошук лише по точному збігу слова без словоформ
2 - можливо розробити власними силами
1 - функціонал відсутній",5,5,2,4,4,3.5,2,5,4,4,3,1,2,1
Should,Топ-тематики та тренди,1.25,"Групування розмов за темами, фіксація висновків і аномалій
5 - автоматичне виявлення нових тем без втручання.
4 - звіт лише за існуючими темами
3 - базова статистика
2 - тематики фіксуються вручну і потім можливо вивести статистику
1 - функціонал відсутній",5,5,1,4,4,3.5,3,5,4,3.5,3,1,3,2
Should,Інтеграція з Power BI,1.25,"Можливість безшовної передачі даних аналітики ШІ у систему звітності BI
5 - наявність готового конектора
4 - є офіційний API з документацією
3 - потребує кастомного написання коду для вивантаження
2 - вивантаження лише вручну у файл; автоматичного оновлення немає
1 - інтеграція неможлива",3,3,3,3.5,5,1,1,3,1,3,1,1,1,1
Should,ROI-аналіз,1.25,"Відстеження окупності проєкту (наприклад, як ШІ реально знизив час)
5 - вбудований модуль аналізу
4 - базові метрики продуктивності є, але ROI-розрахунок потребує ручного зведення даних
3 - потребує кастомного написання коду
2 - дані доступні лише через API без готових звітів
1 - інструментів немає",4,4.5,1,3,3,3.5,3,4.5,4,4,3,1,3,2
Should,Бібліотека кращих практик,1.25,"Виявлення найкращих розмов по чек-листу для навчання нових операторів
5 - ШІ автоматично відбирає дзвінки з найвищою оцінкою за чек-листом і формує бібліотеку для навчання; нові оператори мають доступ одразу
4 - бібліотека є, але наповнюється вручну
3 - є можливість закріпити окремі дзвінки як приклади, але без системної структури
2 - зберігаються тільки посилання на записи без категоризації
1 - функціонал відсутній",4,4.5,1,3,3,3,3,4.5,3,3,1,2,2,2
,,15%,,13%,14%,4.5%,11.4%,11%,10%,7.5%,13.5%,10%,11.4%,7.5%,3%,6.5%,5%
"PRE-CALL AI, як повноцінний IVR-замінник",,,,,,,,,,,,,,,,,
Should,Голосовий асистент,1.45,"Здатність ШІ вести природний діалог із клієнтом
5 - голосовий асистент нативно розуміє українську + суржик, класифікує тематику, маршрутизує, передає контекст оператору — все задокументовано
4.5 - суржик через спеціалізовану модель
4 - функціонал є через сторонній STT/NLU бекенд
3.5 - функціонал є, українська підтримується, суржик невпевнено, діє за скриптами
3 - функціонал є, українська не згадується явно
2 - функціонал є, але для української не реалізований. або Pre-Call pipeline не є продуктом
1 - платформа не є Pre-Call AI рішенням",5,1,3.5,4,3.5,4,4.5,5,2,1,1,5,5,4
Should,Первинне визначення тематики,1.45,"Автоматична класифікація мети дзвінка в моменту початку розмови для кращої маршрутизації оператора
5 - миттєва класифікація ШІ та спрямування клієнта до потрібного відділу без натискання кнопок
4 - класифікація є, але маршрутизація підтверджується клієнтом або потребує уточнення
3 - ШІ розпізнає лише короткі тригери без глибинного аналізу контексту
2 - класифікація тільки за натисканням кнопок, без голосового розпізнавання
1 - функціонал відсутній",5,1,2,3.5,3,3.5,4,5,2,1,3,5,4,3
Should,Ескалація до оператора,1.45,"Передача складних або емоційних дзвінків на живого спеціаліста із контекстом розмови
5 - оператор отримує на екран короткий зміст попередньої розмови клієнта з ШІ
4 - оператор бачить тематику звернення, але без деталей розмови
3 - ескалює на оператора без наданої раніше інформації
2 - ескалація є, але клієнт потрапляє в загальну чергу без пріоритизації
1 - функціонал ескалації відсутній",5,1,3,4,4,5,4,5,2,1,4,1,4,4
Could,Прості консультації,0.65,"Вирішення типових запитів (статус посилки, графік роботи) без залучення людини.
5 - повне самообслуговування: ШІ самостійно закриває понад 60-70% рутинних питань
4 - половина сценаріїв потребує оператора
3 - можливе лише надавання довідкової інформації
2 - працю за записаними скриптами
1 - функціонал самообслуговування відсутній",4.5,1,4,3.5,3,3.5,4,5,2,1,1,5,4,3
,,5%,,4.9%,1%,3%,3.8%,3.4%,4.1%,4.1%,5%,2%,1%,2.5%,3.8%,4.3%,3.6%
"IT, ENTERPRISE & SECURITY",,,,,,,,,,,,,,,,,
Must,Інтеграція з телефонією (Cisco),3.5,"Технічна здатність системи отримувати потік даних
5 - наявність готових конекторів, що не потребують доробки. 
4 - є документація інтеграції
3 - необхідність розробки інтеграції
2 - інтеграція відсутня або не передбачена
1 - рішення передбачає свою телефонію",5,4,1,1,4,1,5,5,3,1,5,5,3,3
Must,Інтеграція у кастомне робоче місце,3.5,"Оцінка інтеграції ШІ в інтерфейс оператора контакт-центру, як окремого віджета
5 - наявність готових модулів (набір інструментів / віджетів) для вбудовування
4 - UI немає, технічно можливо через API, є задокументовано як
3 - інтеграція через API можлива, але документація неповна або потребує участі вендора
2 - лише власний інтерфейс провайдера без можливості вбудовування
1 - вбудовування в сторонній інтерфейс неможливе",5,4,4,4,4,5,5,4,4,3,3,2,4,3
Must,Інтеграція з телефонією (Binotel),3.5,"Технічна здатність системи отримувати потік даних
5 - наявність готових конекторів, що не потребують доробки. 
4 - є документація інтеграції
3 - необхідність розробки інтеграції
2 - інтеграція відсутня або не передбачена
1 - рішення передбачає свою телефонію",2,2,2,2,2,2,2,2,2,5,1,1,1,2
Must,Інтеграція у Power Platform,3.5,"Оцінка інтеграції ШІ в інтерфейс оператора контакт-центру Європи, як окремого віджета
5 - наявність готових модулів (набір інструментів / віджетів) для вбудовування
4 - UI немає, технічно можливо через API, є задокументовано як
3 - інтеграція через API можлива, але документація неповна або потребує участі вендора
2 - лише власний інтерфейс провайдера без можливості вбудовування
1 - вбудовування в сторонній інтерфейс неможливе",3,1,4,3,5,3,2,4,2,1,1,1,1,1
Must,Точність розпізнавання мови,3.5,"Якість перетворення аудіо в текст для подальшого аналізу.
5 - мінімальний відсоток помилок, чітке розпізнавання в умовах шумів
4 - якість знижується при шумі або нечіткій дикції
3 - задовільна якість на чистому аудіо, але суттєві помилки в реальних умовах
2 - часті помилки, що ускладнюють подальший аналіз
1 - розпізнавання мови відсутнє",5,4,4,4,5,4,4,5,3,2,2,5,5,3
Must,Робота з суржиком,3.5,"5 - ШІ навчався на локальних датасетах і коректно транскрибує суржик у змістовний текст
4 - суржик обробляється побільшости
3 - глобальні моделі, що налаштовані на чисту мову, часто втрачають контекст при вживанні діалектизмів чи суржику
2 - суржик транскрибується у інші слова або сприймається як помилка
1 - немає української",3,4,3,2.5,3,1,4,3,2,4,1,4,3,2
Must,Сертифікації безпеки,3.5,"Відповідність міжнародним стандартам (ISO, SOC2)
5 - наявність усіх сертифікатів, що гарантують безпеку даних рівня Enterprise
4 - базові сертифікати є
3 - сертифікацій мінімум
2 - сертифікацій немає, але є внутрішня політика безпеки
1 - інформація про безпеку відсутня",5,3,3,5,5,5,5,5,4,3,3,5,4,3
Must,Кількість користувачів (1000+),3.5,"Здатність платформи стабільно працювати при одночасному доступі великої кількості людей (1000+) Витривалість системи в періоди аномального зростання кількості дзвінків
5 - система підтримує тисячі одночасних сесій без втрати швидкості
4 - API підтримує 500-1000 сесій
3 - до 500 одночасних сесій
2 - масштабування можливе лише через збільшення ресурсів із помітною затримкою
1 - платформа не розрахована на навантаження",5,2,2,5,5,5,4,5,4,3,3,2,4,3
Should,Видалення персональних даних,1.5,"5 - ШІ автоматично розпізнає та маскує номери карток, ПІБ та адреси
4 - маскування є, але тільки після завершення дзвінка (не в реальному часі)
3 - видалення лише вручну
2 - маскування можливо розробити додатково
1 - функціонал відсутній",5,3,2,4,4,5,4,5,4,3,3,4,3,3
Could,On-premise розгортання,0.25,"5 - повноцінне on-premise розгортання без передачі даних у зовнішню хмару, є документація та підтримка
4 - частина обробки локально, частина в хмарі, дані клієнтів не виходять за межі НП
3 - приватна хмара
2 - тільки публічна хмара, але з можливістю локального розгортання
1 - тільки публічна хмара без опцій локального розгортання",2,3,1,3,2,2,4,2,2,2,1,2,1,4
Could,Workforce Management,0.25,"Інтелектуальне планування графіків операторів на основі історичних даних
5 - повноцінний модуль: прогнозування навантаження, автоматичне складання графіків, відстеження навантаження в реальному часі
4 - базовий модуль: прогнозування та планування є
3 - лише планування графіків
2 - інтеграція з зовнішнім WFM-рішенням через API
1 - функціонал відсутній",3,2,2,5,3,5,3,4,3,2,1,1,1,1
,,30%,,24.9%,16.6%,16.5%,19.5%,23.9%,19.4%,23.3%,24.9%,18.3%,17.2%,14.3%,18.9%,18.5%,15.2%
БІЗНЕС ТА ВПРОВАДЖЕННЯ,,,,,,,,,,,,,,,,,
Must,Складність адміністрування,2,"Налаштування щоденного використання та загальну зручність інтерфейсу для менеджерів
5 - no-code інтерфейс: менеджер самостійно налаштовує правила, шаблони, чек-листи без залучення ІТ
4 - більшість налаштувань через UI, але окремі зміни потребують ІТ
3 - основні налаштування лише через технічну підтримку ІТ
2 - будь-які зміни вимагають звернення ІТ
1 - адміністрування системи неможливе без участі розробників вендора, повна залежність",3,4,4,2,3,2,3,4,3,4,4,4,4,4
Must,Налаштування ШІ ,2,"Внесення змін у логіку роботи ШІ без ІТ
5 - є візуальні конструктори налаштувань
4 - мінімальні налаштування можливо менеджером
3 - складні в глибокому налаштуванні
2 - будь-які зміни вимагають звернення ІТ
1 - система не підлягає налаштуванню без участі вендора",5,4,2,4,4,4,5,5,4,3,4,4,4,4
Must,Можливість пілоту (PoC),2,"Швидкість та вартість запуску тестового періоду на реальних даних
5 - безкоштовний пілот за 2 тижні.
4 - складний пілот протягом місяця
3 - платний складний пілот
2 - складний процес узгодження та платний старт
1 - пілот недоступний",3,5,5,3,3,3,4,3,3,5,5,5,3,5
Should,Навчання операторів,1.33,"Наявність інструментів для автоматичного навчання операторів, зокрема на їхніх помилках
5 - вбудована LMS або система автоматичних фідбеків для оператора
4 - є база навчальних матеріалів і ручне призначення завдань менеджером
3 - система фіксує помилки за чек-листом
2 - лише загальна статистика по оператору без прив'язки до конкретних помилок
1 - інструментів для навчання немає",3,4,1,5,4,4,4,5,3,2,2,1,3,2
Should,Швидкість онбордингу,1.33,"Тривалість від підписання контракту до повноцінного запуску системи в роботу
5 - можливий швидкий старт (2 тижні) завдяки простій та готовій інфраструктурі
4 - приблизно місяць
3 - тривале впровадження через локалізацію, бюрократичні та технічні бар'єри
2 - запуск займає >3 місяців
1 - конкретні терміни впровадження не визначеніт ні у вендора, ні у відгуках",3,4,4,2,3,3,4,3,3,4,4,4,4,4
Should,Досвід зі схожими компаніями,1.33,"Наявність клієнтів у сфері логістики або великих контакт-центрів в Україні
5 - наявний досвід у групі NOVA \ в українських компаній
4 - досвід у великому рітейлі або логістиці за межами України з контакт-центром 500+ операторів
3 - кейси в середньому бізнесі або суміжних сферах
2 - загальні референси без деталей про масштаб або сферу
1 - верифікованих кейсів немає

Детальніше про досвід та відгуки: 
https://novaposhta.atlassian.net/wiki/x/IQCgnw 
https://novaposhta.atlassian.net/wiki/spaces/RnD/pages/2719809594",4,5,3,4,4,4,4,4,4,3,3,2,4,3
,,,,150 - 200 000,30 - 60 000,30 - 60 000,200 - 260 000,170 - 240 000,160 - 210 000,180 - 300 000,150 - 200 000,150 - 230 000,65 - 90 000,350 - 600 000,260 - 320 000,400 - 500 000,300 - 420 000
,,10%,,7.1%,8.7%,6.9%,6.5%,6.9%,6.5%,8%,8%,6.7%,7.2%,7.6%,7.1%,7.3%,7.6%
,,100%,Загальна оцінка,81.5%,67.6%,43.6%,75%,76.6%,70.2%,73.3%,85.1%,64.5%,54.9%,57.3%,45.6%,48.7%,40.3%